Journey,Hub,Usage,Cheaper Usage
MAD-NYC RT,MXP,3,0
MAD-NYC RT,LGW,49,10
MAD-NYC RT,STN,46,13
MAD-NYC RT,ORY,140,23
MAD-NYC RT,OPO,11,0
MAD-NYC RT,LTN,39,23
MAD-NYC RT,KEF,89,25
MAD-NYC RT,MAN,1,0
MAD-NYC RT,TLS,12,0
MAD-NYC RT,BGY,3,0
MAD-NYC RT,OSL,12,0
MAD-NYC RT,OTP,16,3
MAD-NYC RT,CLT,4,0
MAD-NYC RT,TER,4,1
MAD-NYC RT,SWF,70,23
MAD-NYC RT,BVA,11,3
BCN-DPS RT,MXP,7,0
BCN-DPS RT,SZX,39,7
BCN-DPS RT,ATH,110,64
BCN-DPS RT,TRN,7,0
BCN-DPS RT,FCO,13,2
BCN-DPS RT,MAD,2,0
BCN-DPS RT,LYS,5,0
BCN-PAR RT,NCE,3,0
BCN-PAR RT,OPO,10,0
BCN-PAR RT,ALG,1,0
BCN-PAR RT,ALC,8,0
BCN-PAR RT,AGP,3,0
BCN-PAR RT,IBZ,2,0
BCN-PAR RT,SVQ,3,0
BCN-PAR RT,MAH,2,0
NYC-SIN RT,MXP,1,0
NYC-SIN RT,CAN,30,22
NYC-SIN RT,BLR,39,7
NYC-SIN RT,SEA,3,0
NYC-SIN RT,ZRH,6,0
NYC-SIN RT,SFO,8,0
NYC-SIN RT,CPH,1,0
NYC-SIN RT,FOC,2,0
NYC-SIN RT,HYD,2,0
NYC-SIN RT,IAD,1,0
NYC-SIN RT,LHR,22,6
NYC-SIN RT,BBI,19,2
NYC-SIN RT,MAA,67,9
NYC-SIN RT,CGK,24,0
NYC-SIN RT,BKK,7,0
